list,trials,item,condition,,,D,C,F,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,noun,sentence_1,sentence_2,context
2,5,8,erdc,er,dc,R-B,NR-BE,NA,10,1,3,3,3,2,orange,orange,orange,orange,orange,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
3,6,8,erdf,er,df,R-B,NA,NR-BE,10,1,3,3,3,2,NA,NA,NA,NA,NA,NA,star,star,star,star,star,diamond,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
1,7,8,zrcf,zr,cf,NA,NR-BE,R-BE,NA,NA,NA,NA,NA,NA,orange,orange,orange,orange,orange,black,star,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den orangen sternförmigen Aufkleber?,Brauchst du den sternförmigen orangen Aufkleber?,Welche Frage passt besser?
2,8,8,zrdc,zr,dc,NR-B,R-BE,NA,9,10,10,10,9,1,orange,black,black,black,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
3,9,8,zrdf,zr,df,NR-B,NA,R-BE,9,10,10,10,9,1,NA,NA,NA,NA,NA,NA,star,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
2,1,17,brcf,br,cf,NA,BR-EB,BR-BE,NA,NA,NA,NA,NA,NA,black,black,orange,orange,black,orange,star,diamond,star,star,diamond,diamond,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen schwarzen Aufkleber?,Welche Frage passt besser?
3,2,17,brdc,br,dc,BR-A,BR-EB,NA,10,9,2,1,10,2,black,orange,black,black,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,3,17,brdf,br,df,BR-A,NA,BR-BE,10,9,2,1,10,2,NA,NA,NA,NA,NA,NA,star,diamond,star,star,diamond,diamond,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du sternförmigen großen Aufkleber?,Welche Frage passt besser?
2,4,17,ercf,er,cf,NA,R-EB,NR-BE,NA,NA,NA,NA,NA,NA,black,orange,orange,orange,orange,orange,star,star,star,star,star,diamond,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen schwarzen Aufkleber?,Welche Frage passt besser?
3,5,17,erdc,er,dc,R-A,NR-EB,NA,10,2,3,1,3,2,black,black,black,black,black,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,6,17,erdf,er,df,R-A,NA,NR-BE,10,2,3,1,3,2,NA,NA,NA,NA,NA,NA,star,star,star,star,star,diamond,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
2,7,17,zrcf,zr,cf,NA,NR-EB,R-BE,NA,NA,NA,NA,NA,NA,black,black,black,black,black,orange,star,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen schwarzen Aufkleber?,Welche Frage passt besser?
3,8,17,zrdc,zr,dc,NR-A,R-EB,NA,9,10,10,10,10,1,black,orange,orange,orange,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,9,17,zrdf,zr,df,NR-A,NA,R-BE,9,10,10,10,10,1,NA,NA,NA,NA,NA,NA,star,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
3,1,26,brcf,br,cf,NA,BR-BE,BR-EB,NA,NA,NA,NA,NA,NA,orange,orange,black,black,orange,black,diamond,star,diamond,diamond,star,star,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen orangen Aufkleber?,Welche Frage passt besser?
1,2,26,brdc,br,dc,BR-B,BR-BE,NA,9,10,2,1,10,2,orange,black,orange,orange,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
2,3,26,brdf,br,df,BR-B,NA,BR-EB,9,10,2,1,10,2,NA,NA,NA,NA,NA,NA,diamond,star,diamond,diamond,star,star,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du diamantförmigen großen Aufkleber?,Welche Frage passt besser?
3,4,26,ercf,er,cf,NA,R-BE,NR-EB,NA,NA,NA,NA,NA,NA,orange,black,black,black,black,black,diamond,diamond,diamond,diamond,diamond,star,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen orangen Aufkleber?,Welche Frage passt besser?
1,5,26,erdc,er,dc,R-B,NR-EB,NA,10,2,1,2,1,3,black,black,black,black,black,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
2,6,26,erdf,er,df,R-B,NA,NR-EB,10,2,1,2,1,3,NA,NA,NA,NA,NA,NA,diamond,diamond,diamond,diamond,diamond,star,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen großen Aufkleber?,Welche Frage passt besser?
3,7,26,zrcf,zr,cf,NA,NR-EB,R-EB,NA,NA,NA,NA,NA,NA,black,black,black,black,black,orange,diamond,star,star,star,star,star,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen orangen Aufkleber?,Welche Frage passt besser?
1,8,26,zrdc,zr,dc,NR-B,R-BE,NA,10,10,9,10,9,3,orange,black,black,black,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
2,9,26,zrdf,zr,df,NR-B,NA,R-EB,10,10,9,10,9,3,NA,NA,NA,NA,NA,NA,diamond,star,star,star,star,star,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen großen Aufkleber?,Welche Frage passt besser?
2,1,9,brcf,br,cf,NA,BR-CF,BR-CF,NA,NA,NA,NA,NA,NA,brown,brown,green,green,brown,green,circle,heart,circle,circle,heart,heart,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
3,2,9,brdc,br,dc,BR-A,BR-CF,NA,10,10,2,2,9,1,brown,green,brown,brown,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
1,3,9,brdf,br,df,BR-A,NA,BR-CF,10,10,2,2,9,1,NA,NA,NA,NA,NA,NA,circle,heart,circle,circle,heart,heart,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du runden großen Aufkleber?,Welche Frage passt besser?
2,4,9,ercf,er,cf,NA,R-CF,NR-CF,NA,NA,NA,NA,NA,NA,brown,green,green,green,green,green,circle,circle,circle,circle,circle,heart,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
3,5,9,erdc,er,dc,R-A,NR-CF,NA,10,1,1,3,3,2,brown,brown,brown,brown,brown,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
1,6,9,erdf,er,df,R-A,NA,NR-CF,10,1,1,3,3,2,NA,NA,NA,NA,NA,NA,circle,circle,circle,circle,circle,heart,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
2,7,9,zrcf,zr,cf,NA,NR-CF,R-CF,NA,NA,NA,NA,NA,NA,brown,brown,brown,brown,brown,green,circle,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
3,8,9,zrdc,zr,dc,NR-A,R-CF,NA,10,10,9,10,10,2,brown,green,green,green,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
1,9,9,zrdf,zr,df,NR-A,NA,R-CF,10,10,9,10,10,2,NA,NA,NA,NA,NA,NA,circle,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
3,1,18,brcf,br,cf,NA,BR-FC,BR-CF,NA,NA,NA,NA,NA,NA,green,green,brown,brown,green,brown,circle,heart,circle,circle,heart,heart,Aufkleber,Brauchst du den grünen runden Aufkleber?,Brauchst du den runden grünen Aufkleber?,Welche Frage passt besser?
1,2,18,brdc,br,dc,BR-B,BR-FC,NA,10,10,3,3,9,1,green,brown,green,green,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
2,3,18,brdf,br,df,BR-B,NA,BR-CF,10,10,3,3,9,1,NA,NA,NA,NA,NA,NA,circle,heart,circle,circle,heart,heart,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du runden großen Aufkleber?,Welche Frage passt besser?
3,4,18,ercf,er,cf,NA,R-FC,NR-CF,NA,NA,NA,NA,NA,NA,green,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,heart,Aufkleber,Brauchst du den grünen runden Aufkleber?,Brauchst du den runden grünen Aufkleber?,Welche Frage passt besser?
1,5,18,erdc,er,dc,R-B,NR-FC,NA,9,3,2,1,2,2,green,green,green,green,green,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
2,6,18,erdf,er,df,R-B,NA,NR-CF,9,3,2,1,2,2,NA,NA,NA,NA,NA,NA,circle,circle,circle,circle,circle,heart,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
3,7,18,zrcf,zr,cf,NA,NR-FC,R-CF,NA,NA,NA,NA,NA,NA,green,green,green,green,green,brown,circle,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den grünen runden Aufkleber?,Brauchst du den runden grünen Aufkleber?,Welche Frage passt besser?
1,8,18,zrdc,zr,dc,NR-B,R-FC,NA,9,10,9,10,9,1,green,brown,brown,brown,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
2,9,18,zrdf,zr,df,NR-B,NA,R-CF,9,10,9,10,9,1,NA,NA,NA,NA,NA,NA,circle,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
1,1,27,brcf,br,cf,NA,BR-CF,BR-FC,NA,NA,NA,NA,NA,NA,brown,brown,green,green,brown,green,heart,circle,heart,heart,circle,circle,Aufkleber,Brauchst du den braunen herzförmigen Aufkleber?,Brauchst du den herzförmigen braunen Aufkleber?,Welche Frage passt besser?
2,2,27,brdc,br,dc,BR-A,BR-CF,NA,10,10,1,3,9,1,brown,green,brown,brown,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
3,3,27,brdf,br,df,BR-A,NA,BR-FC,10,10,1,3,9,1,NA,NA,NA,NA,NA,NA,heart,circle,heart,heart,circle,circle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du herzförmigen großen Aufkleber?,Welche Frage passt besser?
1,4,27,ercf,er,cf,NA,R-CF,NR-FC,NA,NA,NA,NA,NA,NA,brown,green,green,green,green,green,heart,heart,heart,heart,heart,circle,Aufkleber,Brauchst du den braunen herzförmigen Aufkleber?,Brauchst du den herzförmigen braunen Aufkleber?,Welche Frage passt besser?
2,5,27,erdc,er,dc,R-A,NR-FC,NA,10,1,2,2,2,3,green,green,green,green,green,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
3,6,27,erdf,er,df,R-A,NA,NR-FC,10,1,2,2,2,3,NA,NA,NA,NA,NA,NA,heart,heart,heart,heart,heart,circle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den herzförmigen großen Aufkleber?,Welche Frage passt besser?
1,7,27,zrcf,zr,cf,NA,NR-FC,R-FC,NA,NA,NA,NA,NA,NA,green,green,green,green,green,brown,heart,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den herzförmigen grünen Aufkleber?,Welche Frage passt besser?
2,8,27,zrdc,zr,dc,NR-A,R-CF,NA,10,9,10,9,9,3,brown,green,green,green,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
3,9,27,zrdf,zr,df,NR-A,NA,R-FC,10,9,10,9,9,3,NA,NA,NA,NA,NA,NA,heart,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den herzförmigen großen Aufkleber?,Welche Frage passt besser?
5,1,39,uerdc,er,dc,R-A,NR-AB,NA,9,3,2,1,1,3,blue,blue,blue,blue,blue,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
5,2,39,uzrdf,zr,df,NR-A,NA,R-BF,10,10,10,10,10,2,NA,NA,NA,NA,NA,NA,diamond,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen großen Aufkleber?,Welche Frage passt besser?
5,3,39,ubrcf,br,cf,NA,BR-BF,BR-AE,NA,NA,NA,NA,NA,NA,green,orange,green,green,orange,orange,triangle,star,star,triangle,triangle,star,Aufkleber,Brauchst du den grünen dreieckigen Aufkleber?,Brauchst du den  dreieckigen grünen Aufkleber?,Welche Frage passt besser?
1,1,28,fbrcf,br,cf,NA,BR-DF,BR-DF,NA,NA,NA,NA,NA,NA,grey,grey,green,green,grey,green,quadrat,heart,quadrat,quadrat,heart,heart,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
1,2,28,fbrdc,br,dc,BR-A,BR-DF,NA,9,9,1,1,9,3,grey,green,grey,grey,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,3,28,fbrdf,br,df,BR-A,NA,BR-DF,9,9,1,1,9,3,NA,NA,NA,NA,NA,NA,quadrat,heart,quadrat,quadrat,heart,heart,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,4,28,fercf,er,cf,NA,R-DF,NR-DF,NA,NA,NA,NA,NA,NA,grey,green,green,green,green,green,quadrat,quadrat,quadrat,quadrat,quadrat,heart,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
1,5,28,ferdc,er,dc,R-A,NR-DF,NA,9,1,3,2,1,2,grey,grey,grey,grey,grey,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,6,28,ferdf,er,df,R-A,NA,NR-DF,9,1,3,2,1,2,NA,NA,NA,NA,NA,NA,quadrat,quadrat,quadrat,quadrat,quadrat,heart,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,7,28,fzrcf,zr,cf,NA,NR-DF,R-DF,NA,NA,NA,NA,NA,NA,grey,grey,grey,grey,grey,green,quadrat,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
1,8,28,fzrdc,zr,dc,NR-A,R-DF,NA,10,9,9,9,9,2,grey,green,green,green,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,9,28,fzrdf,zr,df,NR-A,NA,R-DF,10,9,9,9,9,2,NA,NA,NA,NA,NA,NA,quadrat,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,10,29,fbrcf,br,cf,NA,BR-EA,BR-EA,NA,NA,NA,NA,NA,NA,black,black,blue,blue,black,blue,star,triangle,star,star,triangle,triangle,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,11,29,fbrdc,br,dc,BR-A,BR-EA,NA,10,9,1,3,9,3,black,blue,black,black,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen Aufkleber?,Welche Frage passt besser?
1,12,29,fbrdf,br,df,BR-A,NA,BR-EA,10,9,1,3,9,3,NA,NA,NA,NA,NA,NA,star,triangle,star,star,triangle,triangle,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,13,29,fercf,er,cf,NA,R-EA,NR-EA,NA,NA,NA,NA,NA,NA,black,blue,blue,blue,blue,blue,star,star,star,star,star,triangle,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,14,29,ferdc,er,dc,R-A,NR-EA,NA,9,1,2,3,3,3,black,black,black,black,black,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen Aufkleber?,Welche Frage passt besser?
1,15,29,ferdf,er,df,R-A,NA,NR-EA,9,1,2,3,3,3,NA,NA,NA,NA,NA,NA,star,star,star,star,star,triangle,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,16,29,fzrcf,zr,cf,NA,NR-EA,R-EA,NA,NA,NA,NA,NA,NA,black,black,black,black,black,blue,star,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,17,29,fzrdc,zr,dc,NR-A,R-EA,NA,10,10,10,10,9,2,black,blue,blue,blue,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen Aufkleber?,Welche Frage passt besser?
1,18,29,fzrdf,zr,df,NR-A,NA,R-EA,10,10,10,10,9,2,NA,NA,NA,NA,NA,NA,star,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,19,30,fbrcf,br,cf,NA,BR-FB,BR-FB,NA,NA,NA,NA,NA,NA,green,green,orange,orange,green,orange,heart,diamond,heart,heart,diamond,diamond,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den grünen Aufkleber?,Welche Frage passt besser?
1,20,30,fbrdc,br,dc,BR-A,BR-FB,NA,10,9,3,1,10,3,green,orange,green,green,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,21,30,fbrdf,br,df,BR-A,NA,BR-FB,10,9,3,1,10,3,NA,NA,NA,NA,NA,NA,heart,diamond,heart,heart,diamond,diamond,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,22,30,fercf,er,cf,NA,R-FB,NR-FB,NA,NA,NA,NA,NA,NA,green,orange,orange,orange,orange,orange,heart,heart,heart,heart,heart,diamond,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den grünen Aufkleber?,Welche Frage passt besser?
1,23,30,ferdc,er,dc,R-A,NR-FB,NA,9,3,1,3,3,3,green,green,green,green,green,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,24,30,ferdf,er,df,R-A,NA,NR-FB,9,3,1,3,3,3,NA,NA,NA,NA,NA,NA,heart,heart,heart,heart,heart,diamond,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,25,30,fzrcf,zr,cf,NA,NR-FB,R-FB,NA,NA,NA,NA,NA,NA,green,green,green,green,green,orange,heart,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den grünen Aufkleber?,Welche Frage passt besser?
1,26,30,fzrdc,zr,dc,NR-A,R-FB,NA,9,9,10,9,9,1,green,orange,orange,orange,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,27,30,fzrdf,zr,df,NR-A,NA,R-FB,9,9,10,9,9,1,NA,NA,NA,NA,NA,NA,heart,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,28,31,fbrcf,br,cf,NA,BR-AC,BR-AC,NA,NA,NA,NA,NA,NA,blue,blue,brown,brown,blue,brown,triangle,circle,triangle,triangle,circle,circle,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,29,31,fbrdc,br,dc,BR-A,BR-AC,NA,10,10,3,1,10,2,blue,brown,blue,blue,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
1,30,31,fbrdf,br,df,BR-A,NA,BR-AC,10,10,3,1,10,2,NA,NA,NA,NA,NA,NA,triangle,circle,triangle,triangle,circle,circle,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,31,31,fercf,er,cf,NA,R-AC,NR-AC,NA,NA,NA,NA,NA,NA,blue,brown,brown,brown,brown,brown,triangle,triangle,triangle,triangle,triangle,circle,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,32,31,ferdc,er,dc,R-A,NR-AC,NA,10,1,2,2,3,1,blue,blue,blue,blue,blue,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
1,33,31,ferdf,er,df,R-A,NA,NR-AC,10,1,2,2,3,1,NA,NA,NA,NA,NA,NA,triangle,triangle,triangle,triangle,triangle,circle,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,34,31,fzrcf,zr,cf,NA,NR-AC,R-AC,NA,NA,NA,NA,NA,NA,blue,blue,blue,blue,blue,brown,triangle,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,35,31,fzrdc,zr,dc,NR-A,R-AC,NA,10,9,10,10,9,3,blue,brown,brown,brown,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
1,36,31,fzrdf,zr,df,NR-A,NA,R-AC,10,9,10,10,9,3,NA,NA,NA,NA,NA,NA,triangle,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,37,32,fbrcf,br,cf,NA,BR-BD,BR-BD,NA,NA,NA,NA,NA,NA,orange,orange,grey,grey,orange,grey,diamond,quadrat,diamond,diamond,quadrat,quadrat,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
1,38,32,fbrdc,br,dc,BR-A,BR-BD,NA,10,9,3,3,9,1,orange,grey,orange,orange,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,39,32,fbrdf,br,df,BR-A,NA,BR-BD,10,9,3,3,9,1,NA,NA,NA,NA,NA,NA,diamond,quadrat,diamond,diamond,quadrat,quadrat,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,40,32,fercf,er,cf,NA,R-BD,NR-BD,NA,NA,NA,NA,NA,NA,orange,grey,grey,grey,grey,grey,diamond,diamond,diamond,diamond,diamond,quadrat,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
1,41,32,ferdc,er,dc,R-A,NR-BD,NA,9,3,2,3,1,3,orange,orange,orange,orange,orange,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,42,32,ferdf,er,df,R-A,NA,NR-BD,9,3,2,3,1,3,NA,NA,NA,NA,NA,NA,diamond,diamond,diamond,diamond,diamond,quadrat,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,43,32,fzrcf,zr,cf,NA,NR-BD,R-BD,NA,NA,NA,NA,NA,NA,orange,orange,orange,orange,orange,grey,diamond,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
1,44,32,fzrdc,zr,dc,NR-A,R-BD,NA,9,10,10,9,9,3,orange,grey,grey,grey,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
1,45,32,fzrdf,zr,df,NR-A,NA,R-BD,9,10,10,9,9,3,NA,NA,NA,NA,NA,NA,diamond,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
